"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","condition","correct_response","correct","Image","LeftLable","RightLable","shape","association","screen_id"
"true","false","[]","[]","[]","preload","0","18","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","646","0.0-1.0","627","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","811","0.0-2.0","165","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","812","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","3145","0.0-3.0-1.0","2331","","{""Q0"":""66""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","4084","0.0-3.0-2.0","937","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","5366","0.0-3.0-3.0","1281","","{""Q0"":""1900""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","6401","0.0-3.0-4.0","1034","","{""Q0"":""6""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","12768","0.0-4.0","6366","","","","85.6","53.98","503.48784545343216","5.882458495875527","485.8","10.069756909068644","50","0.7904858152863021","33.98","16","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","17321","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","25488","0.0-6.0","8167","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2069},{""page_index"":1,""viewing_time"":2551},{""page_index"":2,""viewing_time"":1657},{""page_index"":3,""viewing_time"":907},{""page_index"":4,""viewing_time"":982}]","","","","","","","","","","","","","",""
"","","","","","instructions","11","42548","0.0-7.0","17060","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5737},{""page_index"":1,""viewing_time"":6112},{""page_index"":2,""viewing_time"":4392},{""page_index"":3,""viewing_time"":819}]","","","","","","","","","","","","","",""
"","","","","","instructions","12","45380","0.0-8.0","2831","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2831}]","","","","","","","","","","","","","",""
