"subj_idx","gender","year","material","condition","朋友","生人","自我"
1,1,"2001",1,"classify_friend",0.8666666666666667,0.8555555555555555,0.8555555555555555
2,0,"2002",1,"classify_stranger",0.9111111111111111,0.9444444444444444,0.9
3,0,"2000",1,"classify_stranger",0.9666666666666667,0.9888888888888889,0.9777777777777777
4,1,"2001",1,"classify_self",0.9888888888888889,1,1
5,1,"1998",1,"classify_self",0.9222222222222223,0.8888888888888888,0.9
6,1,"2001",1,"classify_self",1,1,1
7,0,"2005",1,"classify_self",1,0.9888888888888889,0.9777777777777777
8,1,"2002",1,"classify_friend",0.9,0.9333333333333333,0.9666666666666667
9,1,"2002",1,"classify_friend",0.9222222222222223,0.9,0.9444444444444444
10,1,"2001",1,"classify_friend",0.9666666666666667,0.9444444444444444,0.9666666666666667
11,1,"2000",1,"classify_stranger",0.9666666666666667,0.9111111111111111,0.8
12,1,"2000",1,"classify_stranger",0.9888888888888889,0.9888888888888889,0.9888888888888889
