"subj_idx","gender","year","material","朋友_match","生人_match","自我_match","朋友_mismatch","生人_mismatch","自我_mismatch"
13,1,"2001",2,794.9818181818182,773.0588235294117,683.9473684210526,813.3454545454546,766.3454545454546,735.5964912280701
14,1,"1999",2,667.6923076923077,658.188679245283,710.2916666666666,736.7735849056604,683.1698113207547,708.1320754716982
15,0,"2001",2,866.7017543859649,802.6785714285714,772.3275862068965,928.1730769230769,883.5471698113207,930.6346153846154
16,1,"2001",2,824.5272727272727,847.4081632653061,797.5714285714286,862.6909090909091,854.0701754385965,827.7627118644068
17,1,"2001",2,595.4406779661017,622.1153846153846,514.8813559322034,656.3333333333334,633.2592592592592,622.0714285714286
18,1,"2002",2,659.6551724137931,726.811320754717,647.4666666666667,721.2280701754386,724.8833333333333,715.2962962962963
19,1,"2000",2,734.3389830508474,821.24,667.8474576271186,889.8679245283018,837.5090909090909,860.35
20,1,"2001",2,732.8392857142857,756.3333333333334,697.2962962962963,791.4423076923077,727.7457627118644,792.7254901960785
21,1,"1997",2,755.4137931034483,763,759.04,788.8448275862069,842.6727272727272,838.25
22,0,"2005",2,861.2407407407408,920.6590909090909,719.542372881356,926.2978723404256,965.6666666666666,845.290909090909
23,0,"2001",2,663.6909090909091,746.3148148148148,604.6271186440678,700.9636363636364,687.5849056603773,686.3275862068965
24,1,"2001",2,616.843137254902,593.14,575.0243902439024,617.7291666666666,648.7142857142857,645.6734693877551
