"subj_idx","gender","year","condition","朋友","生人","自我"
31,1,21,"classify_self",0.9375,0.8625,0.90625
32,1,25,"classify_self",0.9,0.8375,0.80625
33,1,21,"classify_self",0.8875,0.9,0.91875
34,1,23,"classify_self",0.45,0.9,0.86875
35,0,22,"classify_self",0.9,0.9375,0.85625
36,0,20,"classify_self",0.7875,0.925,0.91875
37,0,20,"classify_self",0.9125,0.95,0.95625
38,0,21,"classify_self",0.8375,0.7875,0.78125
39,0,23,"classify_self",0.9,0.8375,0.93125
40,0,20,"classify_self",0.9,0.9125,0.825
41,0,24,"classify_self",0.95,0.9625,0.95625
42,0,22,"classify_self",0.9125,0.9,0.93125
43,1,22,"classify_friend",0.95625,0.9,0.9625
44,1,23,"classify_friend",0.91875,0.8875,0.9125
45,1,20,"classify_friend",0.9,0.8875,0.9
46,1,22,"classify_friend",0.925,0.9375,0.8875
47,1,24,"classify_friend",0.8375,0.8,0.825
48,1,23,"classify_friend",0.975,0.975,0.95
49,0,23,"classify_friend",0.875,0.8875,0.8875
50,0,23,"classify_friend",0.84375,0.925,0.875
51,0,22,"classify_friend",0.95625,0.975,0.975
52,1,24,"classify_self",0.8,0.85,0.76875
53,0,21,"classify_friend",0.8875,0.9,0.8875
54,0,23,"classify_friend",0.975,0.95,0.9625
55,0,20,"classify_friend",0.9,0.95,0.9625
56,1,24,"classify_friend",0.9,0.925,0.9125
57,1,21,"classify_stranger",0.9625,1,0.975
58,1,24,"classify_self",0.9625,0.9625,0.95
59,1,29,"classify_stranger",0.825,0.84375,0.9375
61,1,20,"classify_stranger",0.975,0.93125,0.9625
62,1,20,"classify_stranger",0.9625,0.94375,0.975
63,0,22,"classify_stranger",0.95,0.98125,0.9875
64,0,29,"classify_stranger",0.9375,0.9625,0.9625
65,1,21,"classify_friend",0.98125,0.975,0.9875
66,0,29,"classify_stranger",0.95,0.99375,0.8375
67,0,22,"classify_stranger",1,0.9625,0.9875
68,0,22,"classify_stranger",0.8375,0.86875,0.8125
69,0,22,"classify_stranger",0.9875,0.96875,0.9625
70,0,21,"classify_self",0.825,0.9,0.825
71,1,21,"classify_self",0.975,0.975,0.98125
72,1,22,"classify_self",0.7875,0.7875,0.8125
73,0,24,"classify_friend",0.9625,0.875,0.9375
74,0,21,"classify_friend",0.975,0.825,0.925
75,1,19,"classify_friend",0.9875,1,1
76,0,24,"classify_friend",0.90625,0.9125,0.875
77,1,21,"classify_friend",0.93125,0.8,0.7875
78,1,23,"classify_friend",0.96875,0.925,0.9625
79,0,31,"classify_stranger",0.825,0.64375,0.7
80,0,21,"classify_stranger",0.75,0.91875,0.75
81,1,20,"classify_stranger",0.9125,0.9625,0.8875
82,0,23,"classify_stranger",0.8875,0.91875,0.975
83,1,30,"classify_stranger",0.9375,0.99375,0.975
84,1,24,"classify_stranger",0.9125,0.85625,0.95
85,0,20,"classify_self",0.975,0.8875,0.95
86,0,23,"classify_self",0.9625,0.95,0.98125
87,1,25,"classify_self",0.9625,0.9,0.925
88,1,27,"classify_stranger",0.75,0.825,0.7625
89,1,22,"classify_stranger",0.8875,0.9875,1
90,0,22,"classify_stranger",0.975,0.99375,1
