"subj_idx","gender","year","condition","朋友","生人","自我"
31,1,21,"classify_self",767.0666666666667,764.304347826087,727.1586206896552
32,1,25,"classify_self",685.7361111111111,662.1940298507462,670.1240310077519
33,1,21,"classify_self",722.0845070422536,706.6388888888889,700.3333333333334
34,1,23,"classify_self",984.3055555555555,889.9166666666666,872.6258992805756
35,0,22,"classify_self",892.7222222222222,883.16,895.6350364963504
36,0,20,"classify_self",734.1428571428571,716.2162162162163,645.265306122449
37,0,20,"classify_self",851.4657534246576,854.328947368421,764.9281045751634
38,0,21,"classify_self",921.1044776119403,888.6031746031746,911.44
39,0,23,"classify_self",819.6527777777778,846.2985074626865,751.489932885906
40,0,20,"classify_self",639.4861111111111,681.1917808219179,650.4924242424242
41,0,24,"classify_self",736.6052631578947,721.1038961038961,664.6209150326797
42,0,22,"classify_self",790.6986301369863,792.7361111111111,730.1476510067114
52,1,24,"classify_self",735.25,720,662.4634146341464
58,1,24,"classify_self",724.8831168831168,665.5194805194806,623.8815789473684
70,0,21,"classify_self",900.7121212121212,892.6805555555555,860.9924242424242
71,1,21,"classify_self",843.5512820512821,838.7307692307693,850.4649681528663
72,1,22,"classify_self",863.5238095238095,815.3492063492064,811.7461538461539
85,0,20,"classify_self",767.3717948717949,782.3521126760563,713.7236842105264
86,0,23,"classify_self",954.4025974025974,890.5921052631579,858.8853503184713
87,1,25,"classify_self",664.8961038961039,708.0972222222222,643.5540540540541
