"subj_idx","gender","year","condition","朋友","生人","自我"
57,1,21,"classify_stranger",771.3376623376623,687.44375,782.0512820512821
59,1,29,"classify_stranger",738.7575757575758,692.8740740740741,691.0666666666667
61,1,20,"classify_stranger",796.9615384615385,750.8590604026846,805.1298701298701
62,1,20,"classify_stranger",829.6363636363636,770.5562913907285,837.3205128205128
63,0,22,"classify_stranger",612.8947368421053,597.8343949044586,654.4810126582279
64,0,29,"classify_stranger",887.4133333333333,818.7207792207793,815.6623376623377
66,0,29,"classify_stranger",779.9605263157895,710.2389937106918,799.1044776119403
67,0,22,"classify_stranger",667.6125,647.2207792207793,701.3291139240506
68,0,22,"classify_stranger",641.5373134328358,570.1654676258993,641.2307692307693
69,0,22,"classify_stranger",602.6582278481013,629.083870967742,622.1818181818181
79,0,31,"classify_stranger",760.1060606060606,699.1067961165048,796.4464285714286
80,0,21,"classify_stranger",688.3666666666667,571.8843537414966,699.7
81,1,20,"classify_stranger",614.5753424657535,572.7987012987013,628.0704225352113
82,0,23,"classify_stranger",675.1549295774648,683.265306122449,699.4871794871794
83,1,30,"classify_stranger",830.08,687.8993710691824,785.7564102564103
84,1,24,"classify_stranger",818.8356164383562,745.7664233576643,788.0263157894736
88,1,27,"classify_stranger",739.9833333333333,743.810606060606,774.360655737705
89,1,22,"classify_stranger",823.2816901408451,731.6772151898734,817.675
90,0,22,"classify_stranger",790.7564102564103,661.0754716981132,761.4125
