"subj_idx","gender","year","material","condition","朋友","生人","自我"
1,1,"2001",1,"classify_friend",708.8717948717949,732.0649350649351,776.4155844155844
2,0,"2002",1,"classify_stranger",632.5,616.364705882353,627.604938271605
3,0,"2000",1,"classify_stranger",493.02298850574715,484.9887640449438,473.79545454545456
4,1,"2001",1,"classify_self",694.1797752808989,696.4222222222222,664.0444444444445
5,1,"1998",1,"classify_self",745.289156626506,743.25,763.0493827160494
6,1,"2001",1,"classify_self",799.8888888888889,819.1555555555556,799.9777777777778
7,0,"2005",1,"classify_self",606.2555555555556,589.0674157303371,579.5227272727273
8,1,"2002",1,"classify_friend",731.320987654321,751.3452380952381,714.7126436781609
9,1,"2002",1,"classify_friend",607.4939759036145,662.5925925925926,628.4117647058823
10,1,"2001",1,"classify_friend",683.1609195402299,773.5058823529412,774.2068965517242
11,1,"2000",1,"classify_stranger",574.2873563218391,581.0731707317074,638.1111111111111
12,1,"2000",1,"classify_stranger",636.1348314606741,613.1685393258427,634.0337078651686
13,1,"2001",2,"classify_self",774.8625,769.1931818181819,750.43678160919535
14,1,"1999",2,"classify_self",688.0864197530864,705.4404761904761,656.0459770114943
15,0,"2001",2,"classify_self",884.2073170731708,813,806.6265060240963
16,1,"2001",2,"classify_self",860.1341463414634,855.1204819277109,725.3181818181819
17,1,"2001",2,"classify_friend",462.26190476190476,487.3529411764706,523.6117647058824
18,1,"2002",2,"classify_friend",628.8,652.6896551724138,711.5357142857143
19,1,"2000",2,"classify_friend",712.3,695.6941176470589,740.5348837209302
20,1,"2001",2,"classify_friend",607.4831460674158,681.816091954023,642.5402298850574
21,1,"1997",2,"classify_stranger",695.6404494382023,649.8888888888889,655.8181818181819
22,0,"2005",2,"classify_stranger",730.2111111111111,634.3033707865169,707.7333333333333
23,0,"2001",2,"classify_stranger",596.1666666666666,626.964705882353,564.9638554216867
24,1,"2001",2,"classify_stranger",516.551724137931,484.1190476190476,531.3333333333334
