"","subj_idx","gender","year","rt","correct_response","correct","key_press","word","shape","condition"
"1",1,1,"2001",707,"arrowright","true","arrowright","自我","自我","matching_task"
"2",1,1,"2001",813,"arrowright","true","arrowright","朋友","朋友","matching_task"
"3",1,1,"2001",634,"arrowright","true","arrowright","生人","生人","matching_task"
"4",1,1,"2001",852,"arrowright","true","arrowright","生人","生人","matching_task"
"5",1,1,"2001",711,"arrowright","true","arrowright","朋友","朋友","matching_task"
"6",1,1,"2001",495,"arrowright","true","arrowright","自我","自我","matching_task"
"7",1,1,"2001",886,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"8",1,1,"2001",673,"arrowleft","true","arrowleft","生人","自我","matching_task"
"9",1,1,"2001",1391,"arrowleft","false","arrowright","生人","朋友","matching_task"
"10",1,1,"2001",848,"arrowleft","false","arrowright","自我","朋友","matching_task"
"11",1,1,"2001",848,"arrowleft","true","arrowleft","自我","生人","matching_task"
"12",1,1,"2001",1042,"arrowleft","false","arrowright","朋友","自我","matching_task"
"13",1,1,"2001",1234,"arrowright","true","arrowright","生人","生人","matching_task"
"14",1,1,"2001",749,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"15",1,1,"2001",881,"arrowleft","true","arrowleft","自我","生人","matching_task"
"16",1,1,"2001",1274,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"17",1,1,"2001",1143,"arrowright","true","arrowright","朋友","朋友","matching_task"
"18",1,1,"2001",769,"arrowright","true","arrowright","自我","自我","matching_task"
"19",1,1,"2001",NA,"arrowright","false","null","生人","生人","matching_task"
"20",1,1,"2001",828,"arrowright","true","arrowright","自我","自我","matching_task"
"21",1,1,"2001",821,"arrowleft","true","arrowleft","生人","自我","matching_task"
"22",1,1,"2001",1231,"arrowright","false","arrowleft","朋友","朋友","matching_task"
"23",1,1,"2001",745,"arrowleft","false","arrowright","朋友","自我","matching_task"
"24",1,1,"2001",1106,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"25",1,1,"2001",1212,"arrowright","true","arrowright","生人","生人","matching_task"
"26",1,1,"2001",925,"arrowright","true","arrowright","朋友","朋友","matching_task"
"27",1,1,"2001",777,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"28",1,1,"2001",1137,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"29",1,1,"2001",760,"arrowright","false","arrowleft","生人","生人","matching_task"
"30",1,1,"2001",1065,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"31",1,1,"2001",795,"arrowright","true","arrowright","自我","自我","matching_task"
"32",1,1,"2001",802,"arrowleft","true","arrowleft","自我","生人","matching_task"
"33",1,1,"2001",752,"arrowright","true","arrowright","朋友","朋友","matching_task"
"34",1,1,"2001",762,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"35",1,1,"2001",748,"arrowright","true","arrowright","自我","自我","matching_task"
"36",1,1,"2001",843,"arrowleft","true","arrowleft","生人","自我","matching_task"
"37",1,1,"2001",784,"arrowright","true","arrowright","生人","生人","matching_task"
"38",1,1,"2001",812,"arrowright","true","arrowright","生人","生人","matching_task"
"39",1,1,"2001",844,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"40",1,1,"2001",764,"arrowleft","false","arrowright","朋友","自我","matching_task"
"41",1,1,"2001",765,"arrowleft","true","arrowleft","生人","自我","matching_task"
"42",1,1,"2001",NA,"arrowleft","false","null","自我","朋友","matching_task"
"43",1,1,"2001",635,"arrowleft","true","arrowleft","自我","生人","matching_task"
"44",1,1,"2001",764,"arrowright","true","arrowright","自我","自我","matching_task"
"45",1,1,"2001",1097,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"46",1,1,"2001",596,"arrowright","true","arrowright","自我","自我","matching_task"
"47",1,1,"2001",750,"arrowright","true","arrowright","朋友","朋友","matching_task"
"48",1,1,"2001",912,"arrowright","false","arrowleft","朋友","朋友","matching_task"
"49",1,1,"2001",617,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"50",1,1,"2001",735,"arrowright","false","arrowleft","生人","生人","matching_task"
"51",1,1,"2001",971,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"52",1,1,"2001",681,"arrowleft","true","arrowleft","生人","自我","matching_task"
"53",1,1,"2001",697,"arrowright","true","arrowright","自我","自我","matching_task"
"54",1,1,"2001",720,"arrowright","true","arrowright","朋友","朋友","matching_task"
"55",1,1,"2001",937,"arrowright","true","arrowright","自我","自我","matching_task"
"56",1,1,"2001",829,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"57",1,1,"2001",756,"arrowleft","true","arrowleft","自我","生人","matching_task"
"58",1,1,"2001",766,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"59",1,1,"2001",818,"arrowright","false","arrowleft","生人","生人","matching_task"
"60",1,1,"2001",761,"arrowright","false","arrowleft","朋友","朋友","matching_task"
"61",1,1,"2001",735,"arrowright","false","arrowleft","生人","生人","matching_task"
"62",1,1,"2001",956,"arrowleft","false","arrowright","自我","朋友","matching_task"
"63",1,1,"2001",995,"arrowleft","true","arrowleft","生人","自我","matching_task"
"64",1,1,"2001",986,"arrowright","true","arrowright","自我","自我","matching_task"
"65",1,1,"2001",889,"arrowright","true","arrowright","朋友","朋友","matching_task"
"66",1,1,"2001",1281,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"67",1,1,"2001",672,"arrowright","true","arrowright","自我","自我","matching_task"
"68",1,1,"2001",1406,"arrowleft","false","arrowright","自我","生人","matching_task"
"69",1,1,"2001",914,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"70",1,1,"2001",761,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"71",1,1,"2001",863,"arrowright","true","arrowright","朋友","朋友","matching_task"
"72",1,1,"2001",1015,"arrowright","true","arrowright","生人","生人","matching_task"
"73",1,1,"2001",818,"arrowright","true","arrowright","生人","生人","matching_task"
"74",1,1,"2001",681,"arrowleft","false","arrowright","生人","朋友","matching_task"
"75",1,1,"2001",780,"arrowleft","true","arrowleft","生人","自我","matching_task"
"76",1,1,"2001",896,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"77",1,1,"2001",624,"arrowright","true","arrowright","自我","自我","matching_task"
"78",1,1,"2001",901,"arrowleft","true","arrowleft","自我","生人","matching_task"
"79",1,1,"2001",706,"arrowleft","false","arrowright","朋友","自我","matching_task"
"80",1,1,"2001",701,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"81",1,1,"2001",684,"arrowright","true","arrowright","朋友","朋友","matching_task"
"82",1,1,"2001",1096,"arrowright","true","arrowright","生人","生人","matching_task"
"83",1,1,"2001",462,"arrowright","true","arrowright","自我","自我","matching_task"
"84",1,1,"2001",863,"arrowright","true","arrowright","朋友","朋友","matching_task"
"85",1,1,"2001",732,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"86",1,1,"2001",660,"arrowright","true","arrowright","自我","自我","matching_task"
"87",1,1,"2001",1211,"arrowleft","true","arrowleft","自我","生人","matching_task"
"88",1,1,"2001",804,"arrowright","true","arrowright","自我","自我","matching_task"
"89",1,1,"2001",765,"arrowright","true","arrowright","生人","生人","matching_task"
"90",1,1,"2001",799,"arrowright","true","arrowright","生人","生人","matching_task"
"91",1,1,"2001",808,"arrowright","true","arrowright","朋友","朋友","matching_task"
"92",1,1,"2001",579,"arrowleft","false","arrowright","朋友","自我","matching_task"
