"subj_idx","gender","year","condition","朋友","生人","自我"
43,1,22,"classify_friend",592.8692810457517,653.2916666666666,636.5974025974026
44,1,23,"classify_friend",547.734693877551,568.7323943661971,587.7808219178082
45,1,20,"classify_friend",679.5138888888889,768.9014084507043,700.5555555555555
46,1,22,"classify_friend",876.2635135135135,944.48,904.1549295774648
47,1,24,"classify_friend",742.1417910447761,865.21875,786.939393939394
48,1,23,"classify_friend",610.8525641025641,609.3589743589744,645.0526315789474
49,0,23,"classify_friend",754.7285714285714,740.0140845070423,748.0422535211268
50,0,23,"classify_friend",635.8740740740741,618,653.5857142857143
51,0,22,"classify_friend",599.59477124183,661.525641025641,673.2564102564103
53,0,21,"classify_friend",733.4225352112676,839.125,816.830985915493
54,0,23,"classify_friend",667.2564102564103,694.3815789473684,721.5714285714286
55,0,20,"classify_friend",705.1458333333334,749.7894736842105,773.6493506493506
56,1,24,"classify_friend",809.1944444444445,843.6081081081081,854.2191780821918
65,1,21,"classify_friend",742.1592356687898,749.4871794871794,748.4050632911392
73,0,24,"classify_friend",777.5064935064935,826.3,833.3466666666667
74,0,21,"classify_friend",670.0320512820513,733.2272727272727,764.3513513513514
75,1,19,"classify_friend",725.5886075949367,743.5,727.5
76,0,24,"classify_friend",797.5172413793103,882.8767123287671,893.2285714285714
77,1,21,"classify_friend",582.9127516778524,669.59375,657.8253968253969
78,1,23,"classify_friend",618.0903225806452,682.918918918919,672.8701298701299
