"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","phase","stage","shape","subj_idx","TaskRelevance","CognitiveLoad","isMatch","Identity","display_label","nBack_shape","nBack_color","nBack_label","sequence","condition_type","correct_response","correct"
"true","false","[]","[]","[]","preload","0","11","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","57015","0.0-1.0","57003","
        <p>您好，欢迎参加本实验。</p>
        <p>本实验由4个按键任务组成, 预计用时50分钟</p>
        <p>请您根据指导语完成任务。</p>
        <p><div style = ""color: green""><按任意键至下页></div> </p>
    "," ","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","82470","0.0-2.0-0.0","25454","","","[{""page_index"":0,""viewing_time"":7961},{""page_index"":1,""viewing_time"":11787},{""page_index"":2,""viewing_time"":1218},{""page_index"":3,""viewing_time"":4489}]","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","82953","0.0-2.0-1.0-0.0-0.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","4","83465","0.0-2.0-1.0-0.0-1.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5","84491","0.0-2.0-1.0-0.0-2.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","6","85521","0.0-2.0-1.0-0.0-3.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","87486","0.0-2.0-1.0-0.0-4.0","1464","<div style=""font-size: 60px;"">自我</div>","j","","prac","response","","100","TaskRelevant","2","false","生人","自我","../img/red_triangle.png","","生人","../img/green_triangle.png,../img/red_triangle.png,../img/red_circle.png","{""label_type"":""生人"",""is_match"":false,""count"":4,""colorPool"":[""red"",""green"",""green"",""red""]}","j","true"
"","","","","","html-keyboard-response","8","87793","0.0-2.0-1.0-0.0-5.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","88150","0.0-2.0-1.0-0.0-6.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","88651","0.0-2.0-1.0-0.0-7.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","11","89679","0.0-2.0-1.0-0.0-8.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","90689","0.0-2.0-1.0-0.0-9.0","null","../img/green_circle.png","null","","prac","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","92595","0.0-2.0-1.0-0.0-10.0","1404","<div style=""font-size: 60px;"">生人</div>","f","","prac","response","","100","TaskRelevant","2","true","生人","生人","../img/red_triangle.png","","生人","../img/red_triangle.png,../img/red_triangle.png,../img/green_circle.png","{""label_type"":""生人"",""is_match"":true,""count"":4,""colorPool"":[""red"",""red"",""green"",""green""]}","f","true"
"","","","","","html-keyboard-response","14","92904","0.0-2.0-1.0-0.0-11.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","93979","0.0-2.0-1.0-0.0-12.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","94490","0.0-2.0-1.0-0.0-13.0","null","../img/green_circle.png","null","","prac","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","17","95501","0.0-2.0-1.0-0.0-14.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","96527","0.0-2.0-1.0-0.0-15.0","null","../img/green_circle.png","null","","prac","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","19","97542","0.0-2.0-1.0-0.0-16.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","98815","0.0-2.0-1.0-0.0-17.0","771","<div style=""font-size: 60px;"">自我</div>","f","","prac","response","","100","TaskRelevant","2","true","自我","自我","../img/green_circle.png","","自我","../img/green_circle.png,../img/green_triangle.png,../img/green_circle.png,../img/red_circle.png","{""label_type"":""自我"",""is_match"":true,""count"":4,""colorPool"":[""green"",""green"",""red"",""red""]}","f","true"
"","","","","","html-keyboard-response","21","99129","0.0-2.0-1.0-0.0-18.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","99941","0.0-2.0-1.0-0.0-19.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","23","100442","0.0-2.0-1.0-0.0-20.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","101452","0.0-2.0-1.0-0.0-21.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","25","102463","0.0-2.0-1.0-0.0-22.0","null","../img/green_circle.png","null","","prac","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","104333","0.0-2.0-1.0-0.0-23.0","1355","<div style=""font-size: 60px;"">生人</div>","f","","prac","response","","100","TaskRelevant","2","true","生人","生人","../img/red_triangle.png","","生人","../img/green_triangle.png,../img/red_triangle.png,../img/green_circle.png","{""label_type"":""生人"",""is_match"":true,""count"":4,""colorPool"":[""red"",""red"",""green"",""green""]}","f","true"
"","","","","","html-keyboard-response","27","104642","0.0-2.0-1.0-0.0-24.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","104939","0.0-2.0-1.0-0.0-25.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","29","105454","0.0-2.0-1.0-0.0-26.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","106468","0.0-2.0-1.0-0.0-27.0","null","../img/green_circle.png","null","","prac","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","31","107493","0.0-2.0-1.0-0.0-28.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","109338","0.0-2.0-1.0-0.0-29.0","1344","<div style=""font-size: 60px;"">自我</div>","f","","prac","response","","100","TaskRelevant","2","true","自我","自我","../img/green_circle.png","","自我","../img/red_circle.png,../img/green_circle.png,../img/green_triangle.png","{""label_type"":""自我"",""is_match"":true,""count"":4,""colorPool"":[""green"",""green"",""red"",""red""]}","f","true"
"","","","","","html-keyboard-response","33","109643","0.0-2.0-1.0-0.0-30.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","110187","0.0-2.0-1.0-0.0-31.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","35","110702","0.0-2.0-1.0-0.0-32.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","111706","0.0-2.0-1.0-0.0-33.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","37","112709","0.0-2.0-1.0-0.0-34.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","114217","0.0-2.0-1.0-0.0-35.0","993","<div style=""font-size: 60px;"">自我</div>","j","","prac","response","","100","TaskRelevant","2","false","生人","自我","../img/green_triangle.png","","生人","../img/red_circle.png,../img/green_triangle.png,../img/green_triangle.png","{""label_type"":""生人"",""is_match"":false,""count"":4,""colorPool"":[""red"",""green"",""green"",""red""]}","j","true"
"","","","","","html-keyboard-response","39","114519","0.0-2.0-1.0-0.0-36.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","115064","0.0-2.0-1.0-0.0-37.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","41","115576","0.0-2.0-1.0-0.0-38.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","42","116588","0.0-2.0-1.0-0.0-39.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","43","117615","0.0-2.0-1.0-0.0-40.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","44","118626","0.0-2.0-1.0-0.0-41.0","null","../img/green_circle.png","null","","prac","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","45","119641","0.0-2.0-1.0-0.0-42.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","121011","0.0-2.0-1.0-0.0-43.0","857","<div style=""font-size: 60px;"">生人</div>","f","","prac","response","","100","TaskRelevant","2","false","自我","生人","../img/green_circle.png","","自我","../img/red_triangle.png,../img/red_circle.png,../img/green_triangle.png,../img/green_circle.png,../img/green_triangle.png","{""label_type"":""自我"",""is_match"":false,""count"":4,""colorPool"":[""green"",""green"",""red"",""red""]}","j","false"
"","","","","","html-keyboard-response","47","121322","0.0-2.0-1.0-0.0-44.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","122196","0.0-2.0-1.0-0.0-45.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","49","122708","0.0-2.0-1.0-0.0-46.0","null","../img/green_circle.png","null","","prac","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","50","123735","0.0-2.0-1.0-0.0-47.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","51","124749","0.0-2.0-1.0-0.0-48.0","null","../img/green_circle.png","null","","prac","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","52","125777","0.0-2.0-1.0-0.0-49.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","53","126789","0.0-2.0-1.0-0.0-50.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","54","128182","0.0-2.0-1.0-0.0-51.0","877","<div style=""font-size: 60px;"">生人</div>","f","","prac","response","","100","TaskRelevant","2","true","生人","生人","../img/green_triangle.png","","生人","../img/green_circle.png,../img/green_triangle.png,../img/green_circle.png,../img/green_triangle.png,../img/green_triangle.png","{""label_type"":""生人"",""is_match"":true,""count"":4,""colorPool"":[""red"",""red"",""green"",""green""]}","f","true"
"","","","","","html-keyboard-response","55","128488","0.0-2.0-1.0-0.0-52.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","56","129408","0.0-2.0-1.0-0.0-53.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","57","129909","0.0-2.0-1.0-0.0-54.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","58","130939","0.0-2.0-1.0-0.0-55.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","59","131967","0.0-2.0-1.0-0.0-56.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","60","132994","0.0-2.0-1.0-0.0-57.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","61","134021","0.0-2.0-1.0-0.0-58.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","62","135521","0.0-2.0-1.0-0.0-59.0","999","<div style=""font-size: 60px;"">自我</div>","j","","prac","response","","100","TaskRelevant","2","false","生人","自我","../img/green_triangle.png","","生人","../img/red_circle.png,../img/red_triangle.png,../img/red_circle.png,../img/green_triangle.png,../img/red_triangle.png","{""label_type"":""生人"",""is_match"":false,""count"":4,""colorPool"":[""red"",""green"",""green"",""red""]}","j","true"
"","","","","","html-keyboard-response","63","135824","0.0-2.0-1.0-0.0-60.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","64","136772","0.0-2.0-1.0-0.0-61.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","65","137273","0.0-2.0-1.0-0.0-62.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","66","138299","0.0-2.0-1.0-0.0-63.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","67","139314","0.0-2.0-1.0-0.0-64.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","68","141176","0.0-2.0-1.0-0.0-65.0","1361","<div style=""font-size: 60px;"">自我</div>","j","","prac","response","","100","TaskRelevant","2","false","生人","自我","../img/red_triangle.png","","生人","../img/red_triangle.png,../img/red_triangle.png,../img/red_circle.png","{""label_type"":""生人"",""is_match"":false,""count"":4,""colorPool"":[""red"",""green"",""green"",""red""]}","j","true"
"","","","","","html-keyboard-response","69","141483","0.0-2.0-1.0-0.0-66.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","70","142340","0.0-2.0-1.0-0.0-67.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","71","142854","0.0-2.0-1.0-0.0-68.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","72","143884","0.0-2.0-1.0-0.0-69.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","73","144898","0.0-2.0-1.0-0.0-70.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","74","145910","0.0-2.0-1.0-0.0-71.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","75","146925","0.0-2.0-1.0-0.0-72.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","76","148435","0.0-2.0-1.0-0.0-73.0","995","<div style=""font-size: 60px;"">生人</div>","f","","prac","response","","100","TaskRelevant","2","true","生人","生人","../img/green_triangle.png","","生人","../img/green_triangle.png,../img/green_triangle.png,../img/red_triangle.png,../img/green_triangle.png,../img/red_circle.png","{""label_type"":""生人"",""is_match"":true,""count"":4,""colorPool"":[""red"",""red"",""green"",""green""]}","f","true"
"","","","","","html-keyboard-response","77","148744","0.0-2.0-1.0-0.0-74.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","78","149303","0.0-2.0-1.0-0.0-75.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","79","149805","0.0-2.0-1.0-0.0-76.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","80","150814","0.0-2.0-1.0-0.0-77.0","null","../img/green_circle.png","null","","prac","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","81","151841","0.0-2.0-1.0-0.0-78.0","null","../img/green_circle.png","null","","prac","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","82","152854","0.0-2.0-1.0-0.0-79.0","null","../img/green_triangle.png","null","","prac","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","83","154339","0.0-2.0-1.0-0.0-80.0","970","<div style=""font-size: 60px;"">生人</div>","j","","prac","response","","100","TaskRelevant","2","false","自我","生人","../img/green_circle.png","","自我","../img/green_triangle.png,../img/green_circle.png,../img/green_circle.png,../img/green_triangle.png","{""label_type"":""自我"",""is_match"":false,""count"":4,""colorPool"":[""green"",""green"",""red"",""red""]}","j","true"
"","","","","","html-keyboard-response","84","154645","0.0-2.0-1.0-0.0-81.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","85","155217","0.0-2.0-1.0-0.0-82.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","86","155727","0.0-2.0-1.0-0.0-83.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","87","156738","0.0-2.0-1.0-0.0-84.0","null","../img/red_circle.png","null","","prac","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","88","157765","0.0-2.0-1.0-0.0-85.0","null","../img/red_triangle.png","null","","prac","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","89","159768","0.0-2.0-1.0-0.0-86.0","null","<div style=""font-size: 60px;"">生人</div>","null","","prac","response","","100","TaskRelevant","2","false","自我","生人","../img/red_circle.png","","自我","../img/red_circle.png,../img/red_circle.png,../img/red_triangle.png","{""label_type"":""自我"",""is_match"":false,""count"":4,""colorPool"":[""green"",""green"",""red"",""red""]}","j","false"
