"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","phase","stage","shape","subj_idx","TaskRelevance","CognitiveLoad","isMatch","Identity","display_label","nBack_shape","nBack_color","nBack_label","sequence","condition_type","correct_response","correct"
"true","false","[]","[]","[]","preload","0","5","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","93855","0.0-1.0","93849","
        <p>您好，欢迎参加本实验。</p>
        <p>本实验由4个按键任务组成, 预计用时50分钟</p>
        <p>请您根据指导语完成任务。</p>
        <p><div style = ""color: green""><按任意键至下页></div> </p>
    "," ","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","123575","0.0-2.0-0.0","29719","","","[{""page_index"":0,""viewing_time"":11091},{""page_index"":1,""viewing_time"":13419},{""page_index"":2,""viewing_time"":1720},{""page_index"":1,""viewing_time"":961},{""page_index"":2,""viewing_time"":1496},{""page_index"":3,""viewing_time"":1032}]","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","124218","0.0-2.0-1.0-0.0-0.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","4","124728","0.0-2.0-1.0-0.0-1.0","null","../img/triangle.png","null","","prac","shape","../img/triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5","125755","0.0-2.0-1.0-0.0-2.0","null","../img/circle.png","null","","prac","shape","../img/circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","6","126782","0.0-2.0-1.0-0.0-3.0","null","../img/circle.png","null","","prac","shape","../img/circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","128288","0.0-2.0-1.0-0.0-4.0","993","<div style=""font-size: 60px;"">生人</div>","f","","prac","response","","100","TaskRelevant","2","false","生人","[""生人""]","../img/circle.png","红色","自我","../img/triangle.png,../img/circle.png,../img/circle.png","{""label_type"":""生人"",""is_match"":false,""count"":1}","j","false"
"","","","","","html-keyboard-response","8","128789","0.0-2.0-1.0-0.0-5.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","129556","0.0-2.0-1.0-0.0-6.0","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","130068","0.0-2.0-1.0-0.0-7.0","null","../img/triangle.png","null","","prac","shape","../img/triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","11","131096","0.0-2.0-1.0-0.0-8.0","null","../img/circle.png","null","","prac","shape","../img/circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","132126","0.0-2.0-1.0-0.0-9.0","null","../img/triangle.png","null","","prac","shape","../img/triangle.png","","","","","","","","","","","","",""
